name,test_auc_roc_score,seed,test_tp,test_tn,test_fn,test_fp,test_se,test_sp,test_mcc,test_acc,test_F1,test_BA
O00141,0.986111111,1232,36,0,0,4,1,0,,0.9,0.947368421,0.5
O00238,0.75,1231,4,0,0,2,1,0,,0.666666667,0.8,0.5
O00311,0.964102564,1236,38,2,1,3,0.974358974,0.4,0.471360297,0.909090909,0.95,0.687179487
O00329,0.975600847,1238,503,29,4,25,0.992110454,0.537037037,0.663290335,0.948306595,0.971980676,0.764573745
O00418,1,1233,2,8,2,0,0.5,1,0.632455532,0.833333333,0.666666667,0.75
O00444,1,1239,17,5,0,2,1,0.714285714,0.799435891,0.916666667,0.944444444,0.857142857
O00506,1,1231,1,2,0,0,1,1,1,1,1,1
O14578,0.888888889,1239,3,2,0,1,1,0.666666667,0.707106781,0.833333333,0.857142857,0.833333333
O14730,1,1231,2,2,0,0,1,1,1,1,1,1
O14733,1,1231,3,2,0,0,1,1,1,1,1,1
O14757,0.948717949,1240,69,4,0,9,1,0.307692308,0.521717691,0.890243902,0.93877551,0.653846154
O14920,0.981927711,1233,81,26,2,14,0.975903614,0.65,0.699255165,0.869918699,0.91011236,0.812951807
O14965,0.935696871,1235,205,41,9,28,0.957943925,0.594202899,0.621617236,0.869257951,0.917225951,0.776073412
O14976,0.865079365,1237,18,3,0,4,1,0.428571429,0.592156525,0.84,0.9,0.714285714
O15075,1,1232,4,0,0,1,1,0,,0.8,0.888888889,0.5
O15111,0.916666667,1234,16,20,3,4,0.842105263,0.833333333,0.672495495,0.837209302,0.820512821,0.837719298
O15146,1,1232,2,0,0,1,1,0,,0.666666667,0.8,0.5
O15264,1,1232,5,0,0,2,1,0,,0.714285714,0.833333333,0.5
O15530,0.995076923,1238,63,23,2,2,0.969230769,0.92,0.889230769,0.955555556,0.969230769,0.944615385
O43293,1,1232,4,0,0,3,1,0,,0.571428571,0.727272727,0.5
O43318,0.908333333,1232,15,4,0,4,1,0.5,0.628280862,0.826086957,0.882352941,0.75
O43353,0.984649123,1231,34,22,4,2,0.894736842,0.916666667,0.800933347,0.903225806,0.918918919,0.905701754
O43781,0.9375,1232,4,3,0,1,1,0.75,0.774596669,0.875,0.888888889,0.875
O60285,1,1232,4,4,0,0,1,1,1,1,1,1
O60674,0.960016635,1238,788,24,1,40,0.998732573,0.375,0.583719587,0.951934349,0.974644403,0.686866286
O75116,0.902919864,1236,271,20,5,48,0.981884058,0.294117647,0.423404448,0.845930233,0.91092437,0.638000853
O75385,0.979166667,1235,5,8,1,0,0.833333333,1,0.860662966,0.928571429,0.909090909,0.916666667
O75460,0.965277778,1235,6,24,6,0,0.5,1,0.632455532,0.833333333,0.666666667,0.75
O75582,1,1232,7,4,0,1,1,0.8,0.836660027,0.916666667,0.933333333,0.9
O75676,1,1238,0,3,3,0,0,1,,0.5,,0.5
O75716,0.944444444,1232,6,0,0,3,1,0,,0.666666667,0.8,0.5
O75914,1,1234,2,0,0,1,1,0,,0.666666667,0.8,0.5
O94768,1,1236,4,7,3,0,0.571428571,1,0.632455532,0.785714286,0.727272727,0.785714286
O94804,1,1238,3,5,2,0,0.6,1,0.654653671,0.8,0.75,0.8
O94806,0.933333333,1236,5,5,0,1,1,0.833333333,0.833333333,0.909090909,0.909090909,0.916666667
O94921,1,1233,2,0,0,1,1,0,,0.666666667,0.8,0.5
O95819,0.917391304,1240,25,19,5,4,0.833333333,0.826086957,0.656571809,0.830188679,0.847457627,0.829710145
O95835,0.964285714,1234,28,0,0,3,1,0,,0.903225806,0.949152542,0.5
O96013,0.925925926,1234,21,7,3,2,0.875,0.777777778,0.632598735,0.848484848,0.893617021,0.826388889
O96017,0.958333333,1231,37,13,2,3,0.948717949,0.8125,0.776293035,0.909090909,0.936708861,0.880608974
P00516,1,1231,1,2,1,0,0.5,1,0.577350269,0.75,0.666666667,0.75
P00517,1,1232,3,0,0,2,1,0,,0.6,0.75,0.5
P00519,0.99589491,1238,85,28,2,0,0.977011494,1,0.954922717,0.982608696,0.988372093,0.988505747
P00520,1,1231,0,6,1,0,0,1,,0.857142857,,0.5
P00523,0.941176471,1236,17,4,0,2,1,0.666666667,0.772328446,0.913043478,0.944444444,0.833333333
P00533,1,1231,219,4,1,0,0.995454545,1,0.892392087,0.995535714,0.997722096,0.997727273
P04049,0.967032967,1235,90,11,1,10,0.989010989,0.523809524,0.647150229,0.901785714,0.942408377,0.756410256
P04409,1,1232,4,0,0,1,1,0,,0.8,0.888888889,0.5
P04626,0.96593869,1239,155,45,6,17,0.962732919,0.725806452,0.734493995,0.896860987,0.930930931,0.844269685
P04629,0.957915273,1231,230,28,4,18,0.982905983,0.608695652,0.688993906,0.921428571,0.954356846,0.795800818
P05129,0.942424242,1231,14,8,1,3,0.933333333,0.727272727,0.686023212,0.846153846,0.875,0.83030303
P05480,1,1232,2,5,0,0,1,1,1,1,1,1
P05622,0.957894737,1232,12,18,3,1,0.8,0.947368421,0.76361746,0.882352941,0.857142857,0.873684211
P05771,0.975517891,1238,58,12,1,6,0.983050847,0.666666667,0.734049199,0.909090909,0.943089431,0.824858757
P06213,0.938181818,1233,46,28,4,5,0.92,0.848484848,0.772711195,0.891566265,0.910891089,0.884242424
P06239,0.983367983,1240,37,9,0,4,1,0.692307692,0.790421077,0.92,0.948717949,0.846153846
P06240,1,1231,4,2,0,1,1,0.666666667,0.730296743,0.857142857,0.888888889,0.833333333
P06241,0.877176015,1231,5,47,17,0,0.227272727,1,0.408538137,0.753623188,0.37037037,0.613636364
P06493,0.929414922,1238,96,51,12,18,0.888888889,0.739130435,0.639715288,0.830508475,0.864864865,0.814009662
P07332,0.75,1235,4,0,0,2,1,0,,0.666666667,0.8,0.5
P07333,0.959663866,1235,119,3,0,7,1,0.3,0.532290647,0.945736434,0.971428571,0.65
P07947,0.959183673,1238,14,5,0,2,1,0.714285714,0.790569415,0.904761905,0.933333333,0.857142857
P07948,0.883928571,1235,28,8,0,8,1,0.5,0.623609564,0.818181818,0.875,0.75
P07949,0.988731125,1239,302,17,4,12,0.986928105,0.586206897,0.66487832,0.952238806,0.974193548,0.786567501
P08069,0.960736903,1233,183,33,10,12,0.948186528,0.733333333,0.693604489,0.907563025,0.943298969,0.840759931
P08581,0.956423696,1240,288,24,5,32,0.982935154,0.428571429,0.547180512,0.893982808,0.939641109,0.705753291
P08631,1,1233,13,0,0,3,1,0,,0.8125,0.896551724,0.5
P08922,1,1240,16,3,0,3,1,0.5,0.648885685,0.863636364,0.914285714,0.75
P09217,1,1231,10,12,1,0,0.909090909,1,0.916057225,0.956521739,0.952380952,0.954545455
P09619,0.93972332,1232,129,20,3,26,0.977272727,0.434782609,0.537763915,0.837078652,0.898954704,0.706027668
P09769,1,1232,4,0,0,1,1,0,,0.8,0.888888889,0.5
P10398,1,1231,3,0,0,1,1,0,,0.75,0.857142857,0.5
P10721,0.959005376,1234,177,63,9,25,0.951612903,0.715909091,0.708143797,0.875912409,0.912371134,0.833760997
P11309,0.973588105,1239,372,19,2,22,0.994652406,0.463414634,0.623589818,0.942168675,0.96875,0.72903352
P11362,0.93782446,1234,242,39,9,27,0.964143426,0.590909091,0.628703888,0.886435331,0.930769231,0.777526259
P11799,1,1233,0,6,2,0,0,1,,0.75,,0.5
P11802,0.964088398,1231,177,11,4,11,0.977900552,0.5,0.567889196,0.926108374,0.959349593,0.738950276
P12931,0.957246377,1235,136,17,2,13,0.985507246,0.566666667,0.667738044,0.910714286,0.947735192,0.776086957
P15056,0.9626401,1240,145,5,1,17,0.993150685,0.227272727,0.400693555,0.892857143,0.941558442,0.610211706
P15735,1,1237,1,3,1,0,0.5,1,0.612372436,0.8,0.666666667,0.75
