method,uniprot_id,seed,hyper
Graph_MPNN,Q32MK0,1231,"[0.001, 0.0001, [256, 256], 4, 64, 64]"
Graph_MPNN,Q86Z02,1231,"[0.001, 0.0001, [256, 256], 4, 64, 64]"
Graph_MPNN,Q9P286,1231,"[0.001, 0.0001, [256, 256], 4, 64, 64]"
Graph_MPNN,Q9UIK4,1231,"[0.001, 0.0001, [256, 256], 4, 64, 64]"
Graph_MPNN,P90584,1231,"[0.001, 0.0001, [64, 64], 2, 16, 16]"
Graph_MPNN,Q16288,1233,"[0.001, 0.01, [64, 64], 4, 64, 64]"
XGB_Morgan_rdkit,O15146,1232,"[ 0.1, 0.1, 1, 5, 100, 0.8, 1]"
XGB_Morgan_rdkit,P78527,1236,"[ 0.05, 0.1, 1, 5, 100, 0.8, 1]"
DNN_Morgan_rdkit,P49760,1237,"[ 0.5, [256], 0.001]"
DNN_Morgan_rdkit,Q14164,1236,"[ 0.1, [512], 0.001]"
DNN_Morgan_rdkit,P29376,1231,"[ 0.5, [512], 0.0001]"
DNN_Morgan_rdkit,Q15418,1234,"[ 0.5, [64], 0.0001]"
DNN_Morgan_rdkit,P28482,1231,"[ 0.1, [64], 0.01]"
DNN_Morgan_rdkit,P00516,1231,"[ 0.5, [512], 0.0001]"
DNN_Morgan_rdkit,P29320,1231,"[ 0.5, [512], 0.0001]"
DNN_Morgan_rdkit,P15056,1234,"[ 0.2, [64], 0.01]"
DNN_Morgan_rdkit,P15735,1232,"[ 0.5, [64], 0.0001]"
KNN_AtomPairs,P19525,1232,"[3, 2, 'distance']"
KNN_AtomPairs,P22694,1231,"[5, 1, 'distance']"
KNN_AtomPairs,Q16654,1231,"[5, 2, 'distance']"
XGB_FP2,Q9HBH9,1240,"[ 0.01, 0.1, 1, 3, 100, 1, 1]"
XGB_FP2,Q9H0K1,1236,"[ 0.1, 0.1, 1, 5, 100, 1, 1]"
XGB_FP2,Q9NZJ5,1234,"[ 0.1, 0.1, 1, 3, 100, 1, 1]"
NB_Morgan,P34947,1240,"[0.1, 0.8]"
NB_Morgan,P27448,1231,"[0.1, 0.8]"
NB_Morgan,Q7L7X3,1231,"[0.1, 0.8]"
XGB_PharmacoPFP,O96013,1236,"[ 0.1, 0.1, 1, 5, 100, 1, 1]"
XGB_PharmacoPFP,P08069,1233,"[ 0.1, 0, 1, 5, 100, 0.8, 0.8]"
XGB_PharmacoPFP,Q02779,1232,"[ 0.1, 0.1, 1, 5, 100, 0.8, 1]"
XGB_PharmacoPFP,Q86V86,1237,"[ 0.1, 0.1, 3, 5, 100, 0.8, 0.8]"
XGB_PharmacoPFP,Q9UEE5,1236,"[ 0.1, 0.1, 3, 5, 100, 1, 1]"
XGB_PharmacoPFP,O75582,1232,"[ 0.1, 0.1, 1, 5, 100, 1, 1]"
KNN_MACCS,O14733,1231,"[5, 2, 'distance']"
KNN_MACCS,Q09013,1236,"[5, 2, 'distance']"
RF_MACCS,O15264,1232,"[500, 'entropy', 15, 5, 'auto']"
RF_MACCS,Q96L34,1231,"[500, 'entropy', 15, 10, 'sqrt']"
